Provincie,Gemeente,Verschil in Groenheid (%) 2018 tov verleden
Groningen,Eemsmond,-5.693472704
Groningen,Delfzijl,-4.241456179
Groningen,Loppersum,-8.503879987
Groningen,Appingedam,-8.344055622
Groningen,Slochteren,-5.963634793
Groningen,Menterwolde,-5.898851645
Groningen,Scheemda,-5.202652661
Groningen,Reiderland,-5.139512531
Groningen,Vlagtwedde,-6.397017923
Drenthe,Emmen,-5.642619603
Drenthe,Borger-Odoorn,-7.795384139
Groningen,Stadskanaal,-6.979333266
Groningen,Bellingwedde,-7.847660177
Groningen,Pekela,-6.405183573
Groningen,Winschoten,-7.532552274
Groningen,Veendam,-6.20005132
Drenthe,Aa en Hunze,-9.70857131
Groningen,Hoogezand-Sappemeer,-6.199857248
Drenthe,Tynaarlo,-9.419096732
Drenthe,Coevorden,-10.12578369
Drenthe,Midden-Drenthe,-10.95413929
Overijssel,Hardenberg,-10.97637922
Overijssel,Twenterand,-9.370030387
Overijssel,Tubbergen,-13.26737687
Overijssel,Almelo,-9.906296353
Overijssel,Dinkelland,-8.875065193
Overijssel,Borne,-10.4037343
Overijssel,Wierden,-14.26478239
Overijssel,Hof van Twente,-14.05751795
Gelderland,Borculo,-14.83963013
Gelderland,Neede,-14.64153426
Overijssel,Haaksbergen,-12.5574284
Overijssel,Hengelo,-8.110508132
Overijssel,Enschede,-7.524315685
Overijssel,Oldenzaal,-6.584514249
Overijssel,Losser,-9.792349038
Gelderland,Winterswijk,-12.38970259
Gelderland,Eibergen,-15.78949109
Gelderland,Lichtenvoorde,-12.5638024
Gelderland,Groenlo,-9.646304674
Gelderland,Ruurlo,-14.10960712
Gelderland,Aalten,-13.07197319
Gelderland,Wisch,-10.89797528
Gelderland,Dinxperlo,-14.55171135
Gelderland,Gendringen,-11.95283993
Limburg,Vaals,-5.790457435
Limburg,Gulpen-Wittem,-7.698255061
Limburg,Margraten,-7.853313332
Limburg,Valkenburg aan de Geul,-7.008179693
Limburg,Voerendaal,-5.482015412
Limburg,Simpelveld,-6.871914043
Limburg,Heerlen,-3.358121151
Limburg,Kerkrade,-4.45099479
Limburg,Landgraaf,-3.860606755
Limburg,Roerdalen,-2.387350413
Limburg,Echt-Susteren,-6.880411428
Limburg,Ambt Montfort,-4.953929343
Limburg,Roermond,-3.552936942
Limburg,Maasbracht,-4.089453992
Limburg,Heel,-3.003799174
Limburg,Sittard-Geleen,-5.915806502
Limburg,Schinnen,-7.016194377
Limburg,Beek,-6.40519112
Limburg,Onderbanken,-4.284232792
Limburg,Brunssum,-2.914652076
Limburg,Nuth,-5.511934179
Limburg,Meerssen,-6.01471631
Limburg,Stein,-6.976235095
Limburg,Maastricht,-4.234358481
Limburg,Thorn,-6.619698413
Limburg,Heythuysen,-5.202515017
Limburg,Hunsel,-6.054809691
Limburg,Weert,-6.743347437
Limburg,Eijsden,-6.682827252
Zeeland,Sluis,-6.082714862
Zeeland,Terneuzen,-5.711300254
Zeeland,Hulst,-4.769003599
Noord-Brabant,Zundert,-9.246038003
Noord-Brabant,Woensdrecht,-5.145279965
Noord-Brabant,Roosendaal,-7.366301065
Noord-Brabant,Rucphen,-9.287083494
Noord-Brabant,Bergen op Zoom,-6.015847526
Noord-Brabant,Steenbergen,-6.541121426
Noord-Brabant,Halderberge,-8.193129379
Noord-Brabant,Etten-Leur,-9.777180324
Noord-Brabant,Breda,-8.010213802
Noord-Brabant,Drimmelen,-6.411891322
Noord-Brabant,Moerdijk,-6.865279945
Zuid-Holland,Strijen,-5.178524412
Zuid-Holland,'s-Gravendeel,-5.128304182
Zuid-Holland,Dordrecht,-3.547858966
Noord-Brabant,Werkendam,-5.715418194
Zuid-Holland,Papendrecht,-4.154769579
Zuid-Holland,Zwijndrecht,-4.367594695
Zuid-Holland,Hendrik-Ido-Ambacht,-3.446654184
Zuid-Holland,Alblasserdam,-5.634499159
Zuid-Holland,Graafstroom,-9.955223345
Zuid-Holland,Sliedrecht,-7.279496977
Zuid-Holland,Nieuw-Lekkerland,-6.577890049
Zuid-Holland,Liesveld,-8.430503342
Zuid-Holland,Bergambacht,-6.968512354
Zuid-Holland,Nederlek,-7.793491924
Zuid-Holland,Ouderkerk,-8.155223772
Zuid-Holland,Ridderkerk,-4.078217526
Zuid-Holland,Krimpen aan den IJssel,-4.537582176
Zuid-Holland,Capelle aan den IJssel,-5.19145723
Zuid-Holland,Barendrecht,-4.714309349
Zuid-Holland,Binnenmaas,-5.189816251
Zuid-Holland,Cromstrijen,-6.542237039
Zuid-Holland,Albrandswaard,-5.05707241
Zuid-Holland,Rotterdam,-3.403488222
Zuid-Holland,Schiedam,-3.768679883
Zuid-Holland,Vlaardingen,-4.487209492
Zuid-Holland,Spijkenisse,-4.175759061
Zuid-Holland,Korendijk,-5.859762252
Zuid-Holland,Oud-Beijerland,-5.930950244
Zuid-Holland,Oostflakkee,-5.340466773
