NAME_1,NAME_2,ndvi_diff
Groningen,Eemsmond,-8.168648468035789
Groningen,Delfzijl,-6.252014573493444
Groningen,Loppersum,-11.686237211688901
Groningen,Appingedam,-11.695120896765557
Groningen,Slochteren,-8.2067707910872
Groningen,Menterwolde,-9.598358054144747
Groningen,Scheemda,-6.45453359111164
Groningen,Reiderland,-10.13992367086604
Groningen,Vlagtwedde,-6.417173709551418
Drenthe,Emmen,-8.207049219071784
Drenthe,Borger-Odoorn,-8.90445777333085
Groningen,Stadskanaal,-8.05740511108683
Groningen,Bellingwedde,-9.171314721666127
Groningen,Pekela,-6.002209304378242
Groningen,Winschoten,-10.887270699778215
Groningen,Veendam,9.956629818108691
Drenthe,Aa en Hunze,-10.874779439321692
Groningen,Hoogezand-Sappemeer,-18.37067849475721
Drenthe,Tynaarlo,-12.465607348564095
Drenthe,Coevorden,-10.793544550002524
Drenthe,Midden-Drenthe,-12.290695250233476
Overijssel,Hardenberg,-12.615444351968666
Overijssel,Twenterand,-11.733919247350851
Overijssel,Tubbergen,-15.178028147904643
Overijssel,Almelo,-15.01584496380822
Overijssel,Dinkelland,-8.689430045392252
Overijssel,Borne,-15.043487001448591
Overijssel,Wierden,-20.56573674870435
Overijssel,Hof van Twente,-19.894666146296004
Gelderland,Borculo,-19.502116027107487
Gelderland,Neede,-19.089151278246298
Overijssel,Haaksbergen,-17.184334820662414
Overijssel,Hengelo,-13.520705517946812
Overijssel,Enschede,-10.782519765135447
Overijssel,Oldenzaal,-11.583802013682762
Overijssel,Losser,-10.482208250477626
Gelderland,Winterswijk,-13.824445679398513
Gelderland,Eibergen,-21.237346494006008
Gelderland,Lichtenvoorde,-15.955127025598236
Gelderland,Groenlo,-15.860719681216498
Gelderland,Ruurlo,-17.202104046273803
Gelderland,Aalten,-15.245501095525023
Gelderland,Wisch,-12.12326077680505
Gelderland,Dinxperlo,-21.71328406112164
Gelderland,Gendringen,-18.529385182383805
Limburg,Vaals,-7.907410465159303
Limburg,Gulpen-Wittem,-11.042566031009775
Limburg,Margraten,-11.952509838980996
Limburg,Valkenburg aan de Geul,-10.717168782176458
Limburg,Voerendaal,-9.626525919392783
Limburg,Simpelveld,-13.739444372781275
Limburg,Heerlen,-9.339320181607931
Limburg,Kerkrade,-12.984549485073122
Limburg,Landgraaf,-10.734810335489339
Limburg,Roerdalen,-3.9523501789120323
Limburg,Echt-Susteren,-12.45510129064521
Limburg,Ambt Montfort,-8.151756356883242
Limburg,Roermond,-11.500918893508933
Limburg,Maasbracht,-13.207809572466331
Limburg,Heel,-8.267424517320498
Limburg,Sittard-Geleen,-13.771435045666829
Limburg,Schinnen,-12.778486019040619
Limburg,Beek,-12.589497966631562
Limburg,Onderbanken,-7.417829290220705
Limburg,Brunssum,-4.707061233217803
Limburg,Nuth,-10.227358212368973
Limburg,Meerssen,-11.729684099070665
Limburg,Stein,-17.104822999872585
Limburg,Maastricht,-10.43240864529124
Limburg,Thorn,-15.15979239555896
Limburg,Heythuysen,-8.071383570063158
Limburg,Hunsel,-9.022665452654376
Limburg,Weert,-10.934114130819108
Limburg,Eijsden,-10.442128876619682
Zeeland,Sluis,-10.392602363739838
Zeeland,Terneuzen,-14.779128970543775
Zeeland,Hulst,-10.620911010139196
Noord-Brabant,Zundert,-13.688624146704948
Noord-Brabant,Woensdrecht,-7.930341914666743
Noord-Brabant,Roosendaal,-13.050056117097192
Noord-Brabant,Rucphen,-13.311219269041615
Noord-Brabant,Bergen op Zoom,-14.691069807232331
Noord-Brabant,Steenbergen,-11.917643339117985
Noord-Brabant,Halderberge,-12.958051110170196
Noord-Brabant,Etten-Leur,-15.99867779652495
Noord-Brabant,Breda,-13.82696319530381
Noord-Brabant,Drimmelen,-10.758996764138509
Noord-Brabant,Moerdijk,-13.054841634238555
Zuid-Holland,Strijen,-7.239245472124165
Zuid-Holland,'s-Gravendeel,-6.761117138562032
Zuid-Holland,Dordrecht,-6.82844208598565
Noord-Brabant,Werkendam,-7.94906086920278
Zuid-Holland,Papendrecht,-5.3637491386814515
Zuid-Holland,Zwijndrecht,-14.964400366244853
Zuid-Holland,Hendrik-Ido-Ambacht,-9.266588256105058
Zuid-Holland,Alblasserdam,-10.167035474221583
Zuid-Holland,Graafstroom,-10.143394184414532
Zuid-Holland,Sliedrecht,-10.08410955487371
Zuid-Holland,Nieuw-Lekkerland,-5.437984269285898
Zuid-Holland,Liesveld,-8.482308646546011
